open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1611086400000,36346.15,36843.99,35850.0,35891.03,38252.86,1611100799999,1394975275.29288,361382,19240.958,702156652.74673,0
1611100800000,35891.74,36461.44,34989.41,35097.16,53608.553,1611115199999,1921165543.16745,456980,25626.11,918916881.85896,0
1611115200000,35098.12,35855.0,34750.0,35679.08,43560.721,1611129599999,1540827016.539,419541,22020.586,779349967.83134,0
1611129600000,35679.08,35985.0,34020.0,34463.47,71417.169,1611143999999,2488954331.35809,671670,32973.945,1149918366.58744,0
1611144000000,34467.41,35175.0,34033.65,34226.78,60905.324,1611158399999,2111547354.12045,577975,30176.209,1046816741.94803,0
1611158400000,34226.79,35368.18,33403.0,35227.77,68358.758,1611172799999,2358263031.17793,597949,33874.841,1169650252.81402,0
1611172800000,35227.77,35721.0,34522.0,35500.0,31341.894,1611187199999,1100368889.15996,345066,15530.663,545289044.56841,0
1611187200000,35499.23,35636.17,34256.21,34608.01,38253.679,1611201599999,1332463300.46397,393654,18834.842,656224466.61251,0
1611201600000,34607.14,35073.29,34000.0,34681.91,41195.325,1611215999999,1424760424.05314,407116,19513.092,675096753.65927,0
1611216000000,34681.91,34728.2,32050.0,32247.3,135334.907,1611230399999,4471068105.90719,1115062,65591.15,2166800512.66402,0
1611230400000,32247.14,32800.0,31032.66,31422.1,149193.634,1611244799999,4753924073.9224,1204202,73004.278,2327448498.12972,0
1611244800000,31426.01,32749.0,31058.0,32473.64,94812.406,1611259199999,3018196666.75351,816180,49214.111,1567660691.73917,0
1611259200000,32473.65,32567.47,30069.9,30879.97,91772.326,1611273599999,2863433092.91783,831760,43492.208,1357720303.09668,0
1611273600000,30875.77,31050.91,28880.0,30944.04,132206.116,1611287999999,3963536889.60748,1121646,65067.898,1952247755.60773,0
1611288000000,30944.04,32090.37,30650.27,30875.13,74686.077,1611302399999,2340109858.48546,660718,36524.927,1145362090.1533,0
1611302400000,30875.13,32050.0,30515.55,31743.83,74997.994,1611316799999,2352972740.8971,685216,37862.864,1188062356.30162,0
1611316800000,31743.24,32736.0,31341.84,32454.51,64926.281,1611331199999,2085735287.27255,587602,33627.146,1080330275.17332,0
1611331200000,32454.95,33674.33,31959.51,33608.99,62425.42,1611345599999,2046835445.07177,575089,32143.636,1054538513.16816,0
1611345600000,33608.36,33831.52,32620.0,32986.34,44326.65,1611359999999,1476733935.39331,442428,20557.2,685108891.46671,0
1611360000000,32990.08,33006.69,32059.33,32385.01,45220.338,1611374399999,1471260986.81069,429116,22298.791,725741868.27574,0
1611374400000,32385.0,33495.0,32279.03,32950.0,39354.484,1611388799999,1295214111.64886,382656,20499.382,674621182.17466,0
1611388800000,32948.71,33128.24,31533.0,31663.37,57041.025,1611403199999,1845538892.97432,533349,26720.446,865319992.95893,0
1611403200000,31665.1,32301.0,31405.0,31883.58,50046.143,1611417599999,1593997921.8854,506111,25199.858,802855809.5516,0
1611417600000,31883.57,32565.0,31766.76,32356.2,36386.074,1611431999999,1170571849.62489,367469,18220.783,586300281.63409,0
1611432000000,32356.2,32550.0,31830.0,32086.48,28728.347,1611446399999,923901794.25892,315204,13804.911,443953549.86424,0
1611446400000,32086.48,32499.02,31612.77,32494.03,28759.889,1611460799999,921790610.45036,311074,14761.516,473352288.26696,0
1611460800000,32494.02,33125.75,32366.0,32834.85,34290.744,1611475199999,1121935627.37703,348045,17404.826,569552158.52792,0
1611475200000,32828.48,33070.0,32502.21,32866.87,26784.916,1611489599999,877349893.22341,300989,13815.445,452640707.41997,0
1611489600000,32866.53,32980.0,31870.0,31967.5,40993.207,1611503999999,1324118490.28442,413353,19731.673,637409273.12934,0
1611504000000,31968.53,32174.66,30914.2,31293.67,46595.38,1611518399999,1473627612.77172,475159,22705.17,718306952.63364,0
1611518400000,31293.66,32389.81,31234.07,32275.63,34682.908,1611532799999,1105984213.04625,356930,18024.376,574829555.57238,0
1611532800000,32274.88,33730.0,32185.0,33600.0,48211.151,1611547199999,1583423406.26812,433826,25582.386,840058746.99209,0
1611547200000,33600.0,33863.09,33065.0,33377.96,36652.386,1611561599999,1225020727.71806,346184,18410.251,615294628.50753,0
1611561600000,33377.97,33606.48,32800.0,33217.34,37468.801,1611575999999,1244507618.45591,360444,17757.674,589962193.04743,0
1611576000000,33217.37,34880.0,33066.0,34507.81,65599.355,1611590399999,2250690688.37488,599604,33686.739,1155469227.04187,0
1611590400000,34509.01,34658.19,33382.97,33441.32,60887.851,1611604799999,2066185775.99469,519658,28995.131,984262769.59082,0
1611604800000,33449.84,33500.57,31921.47,32253.68,67867.98,1611619199999,2218333761.89656,611312,33166.214,1084723684.42779,0
1611619200000,32253.68,32853.53,31460.0,31520.68,50442.104,1611633599999,1624992801.9493,483443,23762.917,766073542.02086,0
1611633600000,31520.68,32323.0,31112.58,31640.7,55497.517,1611647999999,1759492058.81209,500950,27909.602,885164647.04495,0
1611648000000,31640.71,32500.77,31370.02,31807.99,59551.523,1611662399999,1901078553.96448,520321,30335.944,968934190.59637,0
1611662400000,31810.46,31992.17,30810.0,31764.99,78526.558,1611676799999,2472136053.73874,658262,38441.687,1210806807.04891,0
1611676800000,31768.19,32426.18,31318.69,32219.68,63826.677,1611691199999,2041185452.25219,551813,32465.506,1038543823.65892,0
1611691200000,32220.46,32950.0,31861.18,32474.14,39017.328,1611705599999,1261677287.4345,373300,19447.688,629069855.93904,0
1611705600000,32474.81,32562.2,31580.0,31817.08,39401.2,1611719999999,1264382524.70709,364249,18300.618,587452391.94065,0
1611720000000,31817.42,32034.68,31354.0,31751.41,34210.775,1611734399999,1083218136.64013,342099,17588.767,557083095.74759,0
1611734400000,31751.4,31768.16,30577.32,30647.15,66398.327,1611748799999,2071209916.31714,593046,31724.075,989812163.56484,0
1611748800000,30647.15,31067.72,29240.0,30318.63,126995.765,1611763199999,3830409107.13807,1010611,63929.759,1928960859.83894,0
1611763200000,30318.63,30945.93,29507.61,30736.5,97436.308,1611777599999,2963390375.89798,764682,48010.779,1460140836.64331,0
1611777600000,30738.48,31674.65,30082.59,30381.04,66580.464,1611791999999,2057023380.29783,591146,33840.746,1046328441.86922,0
1611792000000,30382.96,31542.22,29843.33,31424.01,52298.568,1611806399999,1608415120.88452,477433,27297.928,839681462.77641,0
1611806400000,31424.24,31908.04,31076.24,31201.32,42877.271,1611820799999,1348055552.40553,400766,21049.354,662175992.00276,0
1611820800000,31201.32,31639.8,30835.74,31477.14,47252.01,1611835199999,1477463009.27481,425902,22745.097,711356447.15603,0
1611835200000,31475.25,32260.4,31180.46,31937.9,66153.613,1611849599999,2102274108.63373,573456,34360.248,1091843714.239,0
1611849600000,31937.9,32765.0,31660.0,32564.08,46804.871,1611863999999,1512002649.49919,437216,23703.392,765907700.28325,0
1611864000000,32564.09,33778.95,32410.0,33399.75,56142.04,1611878399999,1861051294.55931,510056,29355.46,973295264.1128,0
1611878400000,33399.99,34380.0,33361.48,33756.0,60011.832,1611892799999,2037882690.01293,501224,30821.356,1046790328.28218,0
1611892800000,33753.86,33950.0,31960.0,32306.15,74669.5,1611907199999,2449579046.4339,572074,34217.301,1122116652.155,0
1611907200000,32307.25,38356.98,32040.54,37066.11,265159.186,1611921599999,9527450008.33459,2113132,138435.167,4971292822.90504,0
1611921600000,37069.44,38641.1,36515.0,37176.39,111421.537,1611935999999,4171000308.88449,957147,55043.972,2061437939.56368,0
1611936000000,37176.39,37600.52,33521.0,34356.19,132123.712,1611950399999,4686362873.45474,1106244,62853.04,2229965274.74655,0
1611950400000,34360.0,35391.0,33706.17,34269.35,70194.018,1611964799999,2421276044.62236,670916,34068.468,1175778306.75049,0
1611964800000,34267.04,34988.88,32849.06,33299.99,59656.751,1611979199999,2028995985.10287,601517,27957.719,951798350.65178,0
1611979200000,33300.0,34254.88,33154.93,34073.81,54139.902,1611993599999,1818707797.33802,514540,28544.687,959224591.30359,0
1611993600000,34076.55,34480.0,33540.0,33707.77,50995.934,1612007999999,1739675458.54717,499183,25396.075,866463814.02136,0
1612008000000,33707.77,34572.0,33505.0,34240.0,39474.42,1612022399999,1344682617.4736,418027,20231.33,689358105.57291,0
1612022400000,34242.34,34458.48,33550.32,34337.98,36313.265,1612036799999,1237816217.32774,409206,17658.04,602004423.66988,0
1612036800000,34337.98,34829.25,34000.0,34289.85,27281.6,1612051199999,939135807.44521,312321,13839.532,476506295.86493,0
1612051200000,34284.76,34393.22,33700.0,33962.92,27747.502,1612065599999,944159259.4285,297118,13183.086,448735576.65188,0
